"","htgrk","htypek","gtypek","grunntype","adb_id"
139,"L","L07","L07-C-04","L7-C-4 - Svært kalkrik innsjøbunn av dy og gytje","NA L7-C-4"
140,"L","L08","L08-C-01","L8-C-1 - Kalkfattig innsjøbunn av grovt organisk materiale","NA L8-C-1"
141,"L","L08","L08-C-02","L8-C-2 - Kalkrik innsjøbunn av grovt organisk materiale","NA L8-C-2"
142,"L","L09","L09-C-01","L9-C-1 - Innsjøbunn med periodisk oksygenmangel","NA L9-C-1"
143,"L","L09","L09-C-02","L9-C-2 - Anoksisk innsjøbunn med gammelt havvann","NA L9-C-2"
144,"L","L09","L09-C-03","L9-C-3 - Anoksisk innsjøbunn betinget av saltholdig kildevann","NA L9-C-3"
145,"L","L09","L09-C-04","L9-C-4 - Anoksisk innsjøbunn betinget av jernholdig vann","NA L9-C-4"
146,"L","L09","L09-C-05","L9-C-5 - Anoksisk innsjøbunn betinget av kalkrikt vann","NA L9-C-5"
147,"L","L09","L09-C-06","L9-C-6 - Anoksisk innsjøbunn betinget av humusrikt vann","NA L9-C-6"
148,"L","L10","L10-C-01","L10-C-1 - Arktisk permafrost-innsjøbunn","NA L10-C-1"
149,"L","L11","L11-C-01","L11-C-1 - Ny innsjøbunn","NA L11-C-1"
150,"L","L12","L12-C-01","L12-C-1 - Semi-naturlig eutrof innsjøbunn","NA L12-C-1"
151,"L","L13","L13-C-01","L13-C-1 - Kalkfattig semi-naturlig vannstrand-eng","NA L13-C-1"
152,"L","L13","L13-C-02","L13-C-2 - Kalkrik semi-naturlig vannstrand-eng","NA L13-C-2"
153,"L","L14","L14-C-01","L14-C-1 - Sterkt endret ny fast innsjøbunn","NA L14-C-1"
154,"L","L14","L14-C-02","L14-C-2 - Kalkfattig (ny) syntetisk innsjøbunn","NA L14-C-2"
155,"L","L14","L14-C-03","L14-C-3 - Kalkrik (ny) syntetisk innsjøbunn","NA L14-C-3"
156,"L","L14","L14-C-04","L14-C-4 - Kalkfattig ny innsjø-sedimentbunn","NA L14-C-4"
157,"L","L14","L14-C-05","L14-C-5 - Kalkrik ny innsjø-sedimentbunn ","NA L14-C-5"
158,"L","L15","L15-C-01","L15-C-1 - Kalkfattig ny innsjøbunn med opphav i elvebunn","NA L15-C-1"
159,"L","L15","L15-C-02","L15-C-2 - Kalkrik ny innsjøbunn med opphav i elvebunn","NA L15-C-2"
160,"L","L16","L16-C-01","L16-C-1 - Kalkfattig kronisk fysisk forstyrret innsjøbunn","NA L16-C-1"
161,"L","L16","L16-C-02","L16-C-2 - Kalkrik kronisk fysisk forstyrret innsjøbunn","NA L16-C-2"
162,"L","L16","L16-C-03","L16-C-3 - Reguleringssone i innsjø","NA L16-C-3"
163,"L","L17","L17-C-01","L17-C-1 - Kronisk kjemisk påvirket innsjøbunn ","NA L17-C-1"
164,"L","L17","L17-C-02","L17-C-2 - Kronisk saltpåvirket innsjø-sedimentbunn ","NA L17-C-2"
165,"L","L17","L17-C-03","L17-C-3 - Kronisk eutrofiert innsjøbunn ","NA L17-C-3"
166,"L","L17","L17-C-04","L17-C-4 - Kronisk forsuret innsjøbunn ","NA L17-C-4"
167,"M","M08","M08-C-01","M8-C-1 - Helofytt-saltvannssump","NA M8-C-1"
168,"M","M09","M09-C-01","M9-C-1 - Litoralbasseng","NA M9-C-1"
169,"O","O01","O01-C-01","O1-C-1 - Svært kalkfattig fastbunn i klar og roligflytende elv ","NA O1-C-1"
170,"O","O01","O01-C-02","O1-C-2 - Svært kalkfattig fastbunn i klar elv med stryk","NA O1-C-2"
171,"O","O01","O01-C-03","O1-C-3 - Noe kalkfattig fastbunn i klar og roligflytende elv","NA O1-C-3"
172,"O","O01","O01-C-04","O1-C-4 - Noe kalkfattig fastbunn i klar elv med stryk","NA O1-C-4"
173,"O","O01","O01-C-05","O1-C-5 - Moderat kalkrik fastbunn i klar og roligflytende elv","NA O1-C-5"
174,"O","O01","O01-C-06","O1-C-6 - Moderat kalkrik fastbunn i klar elv med stryk","NA O1-C-6"
175,"O","O01","O01-C-07","O1-C-7 - Svært kalkrik fastbunn i klar og roligflytende elv","NA O1-C-7"
176,"O","O01","O01-C-08","O1-C-8 - Svært kalkrik fastbunn i klar elv med stryk","NA O1-C-8"
177,"O","O01","O01-C-09","O1-C-9 - Kalkfattig fastbunn i humøs og roligflytende elv","NA O1-C-9"
178,"O","O01","O01-C-10","O1-C-10 - Kalkfattig fastbunn i humøs elv med stryk","NA O1-C-10"
179,"O","O01","O01-C-11","O1-C-11 - Kalkrik fastbunn i humøs og roligflytende elv","NA O1-C-11"
180,"O","O01","O01-C-12","O1-C-12 - Kalkrik fastbunn i humøs elv med stryk","NA O1-C-12"
181,"O","O01","O01-C-13","O1-C-13 - Turbid fast elvebunn","NA O1-C-13"
182,"O","O01","O01-C-14","O1-C-14 - Fast elvebunn i grotte","NA O1-C-14"
183,"C","C00","C00-11-11","C-11 - Kalkfattig steinbunn i humøs elv","NA O2 C-11"
184,"O","O02","O02-C-01","O2-C-1 - Kalkfattig finbunn i klar elv","NA O2-C-1"
185,"O","O02","O02-C-02","O2-C-2 - Kalkfattig grusbunn i klar elv","NA O2-C-2"
186,"O","O02","O02-C-03","O2-C-3 - Svært kalkfattig steinbunn i klar elv","NA O2-C-3"
187,"O","O02","O02-C-04","O2-C-4 - Noe kalkfattig steinbunn i klar elv","NA O2-C-4"
188,"O","O02","O02-C-05","O2-C-5 - Kalkrik finbunn i klar elv","NA O2-C-5"
189,"O","O02","O02-C-06","O2-C-6 - Kalkrik grusbunn i klar elv","NA O2-C-6"
190,"O","O02","O02-C-07","O2-C-7 - Moderat kalkrik steinbunn i klar elv","NA O2-C-7"
191,"O","O02","O02-C-08","O2-C-8 - Svært kalkrik steinbunn i klar elv","NA O2-C-8"
192,"O","O02","O02-C-09","O2-C-9 - Finbunn i humøs elv","NA O2-C-9"
193,"O","O02","O02-C-10","O2-C-10 - Grusbunn i humøs elv","NA O2-C-10"
194,"O","O02","O02-C-12","O2-C-12 - Kalkrik steinbunn i humøs elv","NA O2-C-12"
195,"O","O02","O02-C-13","O2-C-13 - Utstrømspåvirket kalkfattig elvebunn","NA O2-C-13"
196,"O","O02","O02-C-14","O2-C-14 - Utstrømspåvirket kalkrik elvebunn","NA O2-C-14"
