,id,adb_id,name
256,T5-E-3,NA T5-E-3,mindre kalkrikt grottedyp
257,T5-E-4,NA T5-E-4,indre del av dyp karstgrotte
258,T6-E-1,NA T6-E-1,kalkfattige strandberg
259,T6-E-2,NA T6-E-2,kalkrik bergknaus i bølgesprutsonen
260,T7-E-1,NA T7-E-1,svært kalkfattig moderat snøleie
261,T7-E-2,NA T7-E-2,svakt kalkfattige og intermediære moderate og seine snøleier
262,T7-E-3,NA T7-E-3,intermediært ekstremsnøleie
263,T7-E-4,NA T7-E-4,svakt kalkrike moderate og seine snøleier
264,T7-E-5,NA T7-E-5,sterkt kalkrike moderate og seine snøleier
265,T7-E-6,NA T7-E-6,kalkrikt ekstremsnøleie
266,T8-E-1,NA T8-E-1,fuglefjellenger
267,T8-E-2,NA T8-E-2,fugletopp
268,T9-E-1,NA T9-E-1,fattig-intermediær mosetundra
269,T9-E-2,NA T9-E-2,kalkrik mosetundra
270,T10-E-1,NA T10-E-1,arktiske stepper
271,T11-E-1,NA T11-E-1,saltanrikningsmarker
272,T12-E-1,NA T12-E-1,strandenger
273,T13-E-1,NA T13-E-1,tørkeutsatte kalkfattige grove rasmarker
274,T13-E-2,NA T13-E-2,kalkfattig grus- og sanddominert rasmark
275,T13-E-3,NA T13-E-3,tørkeutsatte intermediære og svcakt kalkrike grove rasmarker
276,T13-E-4,NA T13-E-4,intermediær og svakt kalkrik ur
277,T13-E-5,NA T13-E-5,tørkeutsatte sterkt kalkrike grove rasmarker
278,T13-E-6,NA T13-E-6,sterkt kalkrik grus- og sanddominert rasmark
279,T13-E-7,NA T13-E-7,lite tørkeutsatte kalkfattige rasmarker
280,T13-E-8,NA T13-E-8,lite tørkeutsatte intermediære og svkat kalkrike rasmarker
281,T13-E-9,NA T13-E-9,lite tørkeutsatte sterkt kalkrike rasmarker
282,T14-E-1,NA T14-E-1,kalkfattig og intermediær rabbe
283,T14-E-2,NA T14-E-2,kalkrik rabbe
284,T15-E-1,NA T15-E-1,kalkfattig og intermediær fosse-eng
285,T15-E-2,NA T15-E-2,kalkrik fosse-eng
286,T16-E-1,NA T16-E-1,rasmarkenger og -heier
287,T17-E-1,NA T17-E-1,jordskred
288,T17-E-2,NA T17-E-2,grus- og sandskred
289,T17-E-3,NA T17-E-3,silt- og leirskred
