pid,_id,elementarySegment_id,majorType_id,lec_id,standardSegment_id
287,VF.f,VF.f,L-2,VF,L2-VF.fgh¤
288,VF.g,VF.g,L-2,VF,L2-VF.fgh¤
289,VF.h,VF.h,L-2,VF,L2-VF.fgh¤
290,VF.¤,VF.¤,L-2,VF,L2-VF.fgh¤
291,VT.0,VT.0,L-2,VT,
292,VT.a,VT.a,L-2,VT,L2-VT.ab
293,VT.b,VT.b,L-2,VT,L2-VT.ab
294,VT.c,VT.c,L-2,VT,L2-VT.c
295,IO.0,IO.0,L-3,IO,L3-IO.0a
296,IO.a,IO.a,L-3,IO,L3-IO.0a
297,IO.b,IO.b,L-3,IO,L3-IO.b¤
298,IO.¤,IO.¤,L-3,IO,L3-IO.b¤
299,KA.ab,KA.a,L-3,KA,L3-KA.abcde
300,KA.ab,KA.b,L-3,KA,L3-KA.abcde
301,KA.c,KA.c,L-3,KA,L3-KA.abcde
302,KA.d,KA.d,L-3,KA,L3-KA.abcde
303,KA.e,KA.e,L-3,KA,L3-KA.abcde
304,KA.f,KA.f,L-3,KA,L3-KA.fghi
305,KA.g,KA.g,L-3,KA,L3-KA.fghi
306,KA.h,KA.h,L-3,KA,L3-KA.fghi
307,KA.i,KA.i,L-3,KA,L3-KA.fghi
308,IF.0,IF.0,L-4,IF,L4-IF.0
309,IF.a,IF.a,L-4,IF,L4-IF.ab
310,IF.b,IF.b,L-4,IF,L4-IF.ab
311,IF.¤,IF.¤,L-4,IF,
312,IO.0,IO.0,L-4,IO,L4-IO.0a
313,IO.a,IO.a,L-4,IO,L4-IO.0a
314,IO.b,IO.b,L-4,IO,L4-IO.b¤
315,IO.¤,IO.¤,L-4,IO,L4-IO.b¤
316,KA.ab,KA.a,L-4,KA,L4-KA.ab
317,KA.ab,KA.b,L-4,KA,L4-KA.ab
318,KA.c,KA.c,L-4,KA,L4-KA.cde
319,KA.d,KA.d,L-4,KA,L4-KA.cde
320,KA.e,KA.e,L-4,KA,L4-KA.cde
321,KA.f,KA.f,L-4,KA,L4-KA.fghi
322,KA.g,KA.g,L-4,KA,L4-KA.fghi
323,KA.h,KA.h,L-4,KA,L4-KA.fghi
324,KA.i,KA.i,L-4,KA,L4-KA.fghi
325,S3E.0,S3E.0,L-4,S3E,L4-S3E.0abcd
326,S3E.a,S3E.a,L-4,S3E,L4-S3E.0abcd
327,S3E.b,S3E.b,L-4,S3E,L4-S3E.0abcd
328,S3E.c,S3E.c,L-4,S3E,L4-S3E.0abcd
329,S3E.d,S3E.d,L-4,S3E,L4-S3E.0abcd
330,S3E.e,S3E.e,L-4,S3E,
331,S3E.f,S3E.f,L-4,S3E,
332,S3E.+,S3E.+,L-4,S3E,
333,S3F.0,S3F.0,L-4,S3F,L4-S3F.0ab
334,S3F.a,S3F.a,L-4,S3F,L4-S3F.0ab
335,S3F.b,S3F.b,L-4,S3F,L4-S3F.0ab
336,S3F.c,S3F.c,L-4,S3F,L4-S3F.c¤
337,S3F.¤,S3F.¤,L-4,S3F,L4-S3F.c¤
338,S3S.0,S3S.0,L-4,S3S,L4-S3S.0
339,S3S.a,S3S.a,L-4,S3S,
340,S3S.b,S3S.b,L-4,S3S,
341,S3S.c,S3S.c,L-4,S3S,
342,S3S.d,S3S.d,L-4,S3S,
343,S3S.e,S3S.e,L-4,S3S,L4-S3S.e
344,KA.ab,KA.a,L-5,KA,
345,KA.ab,KA.b,L-5,KA,
346,KA.c,KA.c,L-5,KA,L5-KA.cde
347,KA.d,KA.d,L-5,KA,L5-KA.cde
348,KA.e,KA.e,L-5,KA,L5-KA.cde
349,KA.f,KA.f,L-5,KA,L5-KA.fghi
350,KA.g,KA.g,L-5,KA,L5-KA.fghi
351,KA.h,KA.h,L-5,KA,L5-KA.fghi
352,KA.i,KA.i,L-5,KA,L5-KA.fghi
353,KI.0a,KI.0,L-5,KI,
354,KI.0a,KI.a,L-5,KI,
355,KI.bc,KI.b,L-5,KI,
