pid,minorType_id,standardSegment_id
680,M5-22,M5-S3E.cd
681,M5-22,M5-S3E.e
682,M5-22,M5-S3F.0a
683,M5-23,M5-DM.b
684,M5-23,M5-S3E.b
685,M5-23,M5-S3E.cd
686,M5-23,M5-S3F.bc
687,M5-24,M5-DM.b
688,M5-24,M5-S3E.b
689,M5-24,M5-S3E.cd
690,M5-24,M5-S3F.¤
691,M5-25,M5-DM.b
692,M5-25,M5-S3E.e
693,M5-25,M5-S3F.¤
694,M5-26,M5-DM.b
695,M5-26,M5-S3S.c
696,M5-27,M5-DM.cd
697,M5-27,M5-S3E.0a
698,M5-27,M5-S3E.b
699,M5-27,M5-S3F.0a
700,M5-28,M5-DM.cd
701,M5-28,M5-S3E.0a
702,M5-28,M5-S3F.¤
703,M5-29,M5-DM.cd
704,M5-29,M5-S3E.cd
705,M5-29,M5-S3E.e
706,M5-29,M5-S3F.0a
707,M5-30,M5-DM.cd
708,M5-30,M5-S3E.b
709,M5-30,M5-S3E.cd
710,M5-30,M5-S3F.¤
711,M5-31,M5-DM.cd
712,M5-31,M5-S3E.e
713,M5-31,M5-S3F.¤
714,M5-32,M5-DM.cd
715,M5-32,M5-S3S.c
716,M5-33,M5-DM.ef
717,M5-33,M5-S3E.0a
718,M5-33,M5-S3E.b
719,M5-33,M5-S3F.0a
720,M5-34,M5-DM.ef
721,M5-34,M5-S3E.0a
722,M5-34,M5-S3F.¤
723,M5-35,M5-DM.ef
724,M5-35,M5-S3E.cd
725,M5-35,M5-S3E.e
726,M5-35,M5-S3F.0a
727,M5-36,M5-DM.ef
728,M5-36,M5-S3E.b
729,M5-36,M5-S3E.cd
730,M5-36,M5-S3F.¤
731,M5-37,M5-DM.ef
732,M5-37,M5-S3E.e
733,M5-37,M5-S3F.¤
734,M5-38,M5-DM.ef
735,M5-38,M5-S3S.c
736,M6-1,M6-KY.0
737,M6-2,M6-KY.a
738,M7-1,M7-SA.abc
739,M7-1,M7-TV.0
740,M7-2,M7-SA.abc
741,M7-2,M7-TV.ab
742,M7-3,M7-SA.def
743,M7-3,M7-TV.0
744,M7-4,M7-SA.def
745,M7-4,M7-TV.ab
746,M9-1,M9-SM.gh
747,M9-1,M9-TV.cdefgh
748,M9-2,M9-SM.gh
749,M9-2,M9-TV.ij
750,M9-3,M9-SM.gh
751,M9-3,M9-TV.k
752,M9-4,M9-SM.i
753,M9-4,M9-TV.cdefgh
754,M9-5,M9-SM.i
755,M9-5,M9-TV.ij
756,M9-6,M9-SM.i
757,M9-6,M9-TV.k
758,M9-7,M9-SM.¤
759,M9-7,M9-TV.ij
760,M9-7,M9-TV.k
761,M9-8,M9-SM.gh
762,M9-8,M9-TV.cdefgh
763,M9-8,M9-SE.b
764,M9-9,M9-SM.i
765,M9-9,M9-TV.cdefgh
766,M9-9,M9-SE.b
767,M10-1,M10-DL.0
768,M10-1,M10-GS.ab
769,M10-2,M10-DL.abcd
770,M10-2,M10-GS.ab
771,M10-3,M10-DL.e+
772,M10-3,M10-GS.ab
773,M10-3,M10-GS.cd¤
774,M10-4,M10-DL.0
775,M10-4,M10-GS.cd¤
776,M10-5,M10-DL.abcd
777,M10-5,M10-GS.cd¤
778,M11-1,M11-DM.0
779,M11-1,M11-KI.e
780,M11-2,M11-DM.0
781,M11-2,M11-KI.¤
782,M11-3,M11-DM.a
783,M11-3,M11-KI.e
784,M11-4,M11-DM.a
785,M11-4,M11-KI.¤
786,M11-5,M11-DM.bcdef
787,M11-5,M11-KI.e
788,M11-6,M11-DM.bcdef
789,M11-6,M11-KI.¤
790,M11-7,M11-DM.bcdef
791,M11-7,M11-KI.¤
792,M11-7,M11-KT.e
793,M12-1,M12-JV.ab
794,M12-1,M12-DM.0
795,M12-2,M12-JV.ab
796,M12-2,M12-DM.a
797,M12-3,M12-JV.ab
798,M12-3,M12-DM.bcdef
799,M12-4,M12-JV.cd
800,M12-4,M12-DM.0
801,M12-5,M12-JV.cd
802,M12-5,M12-DM.a
803,M12-6,M12-JV.cd
804,M12-6,M12-DM.bcdef
805,M12-7,M12-JV.e¤
806,M12-7,M12-DM.0
807,M12-7,M12-DM.a
808,M13-1,M13-OM.b
809,M13-1,M13-DL.abcd
810,M13-2,M13-OM.b
811,M13-2,M13-DL.e+
812,M13-3,M13-OM.¤
813,M13-3,M13-DL.abcd
814,M13-4,M13-OM.¤
815,M13-4,M13-DL.e+
816,M14-1,M14-DL.0
817,M14-2,M14-DL.abcd
818,M14-3,M14-DL.e+
819,M15-1,M15-S3E.0abcd
820,M15-1,M15-S3F.0ab
821,M15-1,M15-HS-M15.A
822,M15-2,M15-S3E.0abcd
823,M15-2,M15-S3F.c¤
824,M15-2,M15-HS-M15.A
825,M15-3,M15-S3E.e
826,M15-3,M15-S3F.0ab
827,M15-3,M15-HS-M15.A
828,M15-4,M15-S3E.0abcd
829,M15-4,M15-S3F.c¤
830,M15-4,M15-HS-M15.B
831,L1-1,L1-HU.0
832,L1-1,L1-KA.abc
833,L1-1,L1-VF.0abcde
834,L1-2,L1-HU.0
835,L1-2,L1-KA.def
836,L1-2,L1-VF.0abcde
837,L1-3,L1-HU.0
838,L1-3,L1-KA.ghi
839,L1-3,L1-VF.0abcde
840,L1-4,L1-HU.0
841,L1-4,L1-KA.abc
842,L1-4,L1-VF.fgh¤
843,L1-5,L1-HU.0
844,L1-5,L1-KA.def
845,L1-5,L1-VF.fgh¤
846,L1-6,L1-HU.0
847,L1-6,L1-KA.ghi
848,L1-6,L1-VF.fgh¤
849,L1-7,L1-HU.abcd
850,L1-7,L1-KA.abc
851,L1-7,L1-VF.0abcde
852,L2-1,L2-KA.ab
853,L2-1,L2-S3E.0abc
854,L2-1,L2-S3E.d
855,L2-1,L2-S3F.0ab
856,L2-2,L2-KA.ab
857,L2-2,L2-S3E.0abc
858,L2-2,L2-S3F.c¤
859,L2-3,L2-KA.ab
860,L2-3,L2-S3E.e
861,L2-3,L2-S3F.0ab
862,L2-4,L2-KA.ab
863,L2-4,L2-S3E.0abc
864,L2-4,L2-S3F.c¤
865,L2-4,L2-IO.b¤
866,L2-5,L2-KA.ab
867,L2-5,L2-S3S.e
868,L2-5,L2-S3F.c¤
